date,cases,deaths
1/21/20,1,0
1/22/20,1,0
1/23/20,1,0
1/24/20,2,0
1/25/20,3,0
1/26/20,5,0
1/27/20,5,0
1/28/20,5,0
1/29/20,5,0
1/30/20,6,0
1/31/20,7,0
2/1/20,8,0
2/2/20,11,0
2/3/20,11,0
2/4/20,11,0
2/5/20,12,0
2/6/20,12,0
2/7/20,12,0
2/8/20,12,0
2/9/20,12,0
2/10/20,13,0
2/11/20,13,0
2/12/20,14,0
2/13/20,15,0
2/14/20,15,0
2/15/20,15,0
2/16/20,15,0
2/17/20,25,0
2/18/20,25,0
2/19/20,25,0
2/20/20,27,0
2/21/20,30,0
2/22/20,30,0
2/23/20,30,0
2/24/20,43,0
2/25/20,45,0
2/26/20,60,0
2/27/20,60,0
2/28/20,65,0
2/29/20,70,1
3/1/20,88,3
3/2/20,104,6
3/3/20,125,10
3/4/20,161,12
3/5/20,228,12
3/6/20,311,15
3/7/20,428,19
3/8/20,547,22
3/9/20,748,26
3/10/20,1018,31
3/11/20,1263,37
3/12/20,1668,43
3/13/20,2224,50
3/14/20,2898,60
3/15/20,3600,68
3/16/20,4507,91
3/17/20,5905,116
3/18/20,8345,157
3/19/20,12384,203
3/20/20,17990,264
3/21/20,24511,343
3/22/20,33043,435
3/23/20,43477,550
3/24/20,53892,731
3/25/20,68489,989
3/26/20,85497,1275
3/27/20,102729,1648
3/28/20,123581,2134
3/29/20,142194,2487
3/30/20,163589,3068
3/31/20,188049,3911
4/1/20,214711,4841
4/2/20,244034,5952
4/3/20,276501,7121
4/4/20,311536,8499
4/5/20,336769,9654
4/6/20,366213,10958
4/7/20,397748,12957
4/8/20,429316,14803
4/9/20,463684,16673
4/10/20,496914,18710
4/11/20,528397,20574
4/12/20,555327,22055
4/13/20,580853,23606
4/14/20,607285,26080
4/15/20,637056,28582
4/16/20,668533,30723
4/17/20,699853,32911
4/18/20,728094,34726
4/19/20,753314,36109
4/20/20,780449,37795
4/21/20,805771,40316
4/22/20,834338,42495
4/23/20,868019,44516
4/24/20,904604,46503
4/25/20,938750,48325
4/26/20,965214,49464
4/27/20,988250,50819
4/28/20,1012683,53034
4/29/20,1039318,55399
4/30/20,1069722,57570